code,start,end,label
157B025010006,2025-06-16 01:00:00,2025-06-16 01:00:00,anomaly
157B025010006,2025-06-17 00:00:00,2025-06-17 00:00:00,anomaly
157B025010006,2025-06-18 00:00:00,2025-06-18 00:00:00,anomaly
157B025010006,2025-06-15 23:00:00,2025-06-15 23:00:00,anomaly
157B025010006,2025-06-17 19:00:00,2025-06-17 21:00:00,drain
157B025010006,2025-06-19 01:00:00,2025-06-19 01:00:00,anomaly
157B025010006,2025-06-19 04:00:00,2025-06-19 04:00:00,anomaly
157B025010006,2025-06-25 00:00:00,2025-06-25 01:00:00,anomaly
157B025010006,2025-06-26 03:00:00,2025-06-26 03:00:00,anomaly
157B025010006,2025-06-27 00:00:00,2025-06-27 00:00:00,anomaly
157B025010006,2025-06-29 00:00:00,2025-06-29 01:00:00,anomaly
157B025010006,2025-06-28 16:00:00,2025-06-28 23:00:00,anomaly
157B025010006,2025-06-30 08:00:00,2025-06-30 10:00:00,drain
157B025010006,2025-07-02 13:00:00,2025-07-02 20:00:00,drain
157B025010006,2025-07-03 23:00:00,2025-07-03 23:00:00,anomaly
157B025010006,2025-07-04 23:00:00,2025-07-04 23:00:00,anomaly
157B025010006,2025-07-05 23:00:00,2025-07-05 23:00:00,anomaly
157B025010006,2025-07-06 23:00:00,2025-07-07 00:00:00,anomaly
157B025010006,2025-07-08 00:00:00,2025-07-08 00:00:00,anomaly
157B025010006,2025-07-09 01:00:00,2025-07-09 01:00:00,anomaly
157B025010006,2025-07-06 06:00:00,2025-07-06 08:00:00,drain
157B025010006,2025-07-10 08:00:00,2025-07-10 10:00:00,drain
157B025010006,2025-07-11 02:00:00,2025-07-11 02:00:00,anomaly
157B025010006,2025-07-11 23:00:00,2025-07-11 23:00:00,anomaly
157B025010006,2025-07-13 22:00:00,2025-07-13 23:00:00,anomaly
157B025010006,2025-07-14 23:00:00,2025-07-14 23:00:00,anomaly
157B025010006,2025-07-18 22:00:00,2025-07-18 23:00:00,anomaly
157B025010006,2025-07-19 03:00:00,2025-07-19 03:00:00,anomaly
157B025010006,2025-07-11 11:00:00,2025-07-11 11:00:00,anomaly
157B025010006,2025-07-11 15:00:00,2025-07-11 17:00:00,anomaly
157B025010006,2025-07-11 21:00:00,2025-07-11 22:00:00,anomaly
157B025010006,2025-07-12 04:00:00,2025-07-12 08:00:00,anomaly
157B025010006,2025-07-12 23:00:00,2025-07-13 03:00:00,anomaly
157B025010006,2025-07-18 19:00:00,2025-07-18 21:00:00,anomaly
157B025010006,2025-07-16 08:00:00,2025-07-16 10:00:00,drain
157B025010006,2025-08-07 08:00:00,2025-08-07 10:00:00,drain
157B025010006,2025-08-15 22:00:00,2025-08-15 23:00:00,anomaly
157B025010006,2025-08-22 22:00:00,2025-08-22 22:00:00,anomaly
157B025010006,2025-08-23 00:00:00,2025-08-23 00:00:00,anomaly
157B025010006,2025-08-28 22:00:00,2025-08-28 23:00:00,anomaly
157B025010006,2025-08-28 07:00:00,2025-08-28 13:00:00,drain
157B025010006,2025-08-29 06:00:00,2025-08-29 10:00:00,drain
157B025010006,2025-09-04 14:00:00,2025-09-04 15:00:00,anomaly
157B025010006,2025-09-05 17:00:00,2025-09-06 15:00:00,anomaly
157B025010006,2025-09-10 03:00:00,2025-09-10 03:00:00,anomaly
157B025010006,2025-09-09 11:00:00,2025-09-10 02:00:00,anomaly
157B025010006,2025-09-14 07:00:00,2025-09-14 08:00:00,anomaly
157B025010006,2025-09-12 03:00:00,2025-09-12 07:00:00,drain
157B025010017,2025-06-17 01:00:00,2025-06-17 01:00:00,anomaly
157B025010017,2025-06-17 03:00:00,2025-06-17 03:00:00,anomaly
157B025010017,2025-06-18 23:00:00,2025-06-18 23:00:00,anomaly
157B025010017,2025-06-26 05:00:00,2025-06-26 05:00:00,anomaly
157B025010017,2025-06-28 23:00:00,2025-06-28 23:00:00,anomaly
157B025010017,2025-06-29 02:00:00,2025-06-29 02:00:00,anomaly
157B025010017,2025-07-01 03:00:00,2025-07-01 03:00:00,anomaly
157B025010017,2025-06-21 16:00:00,2025-06-22 06:00:00,drain
157B025010017,2025-07-10 04:00:00,2025-07-10 04:00:00,anomaly
157B025010017,2025-07-11 02:00:00,2025-07-11 02:00:00,anomaly
157B025010017,2025-07-13 22:00:00,2025-07-14 00:00:00,anomaly
157B025010017,2025-07-14 23:00:00,2025-07-14 23:00:00,anomaly
157B025010017,2025-07-19 07:00:00,2025-07-19 07:00:00,anomaly
157B025010017,2025-07-05 10:00:00,2025-07-05 14:00:00,drain
157B025010017,2025-07-11 21:00:00,2025-07-12 06:00:00,drain
157B025010017,2025-07-18 03:00:00,2025-07-18 05:00:00,drain
157B025010017,2025-07-24 22:00:00,2025-07-26 15:00:00,anomaly
157B025010017,2025-07-31 10:00:00,2025-07-31 14:00:00,drain
157B025010017,2025-08-08 05:00:00,2025-08-08 05:00:00,anomaly
157B025010017,2025-08-08 23:00:00,2025-08-08 23:00:00,anomaly
157B025010017,2025-08-09 05:00:00,2025-08-09 05:00:00,anomaly
157B025010017,2025-08-08 01:00:00,2025-08-08 03:00:00,drain
157B025010017,2025-08-16 03:00:00,2025-08-16 03:00:00,anomaly
157B025010017,2025-09-05 04:00:00,2025-09-05 04:00:00,anomaly
157B025010017,2025-09-10 03:00:00,2025-09-10 04:00:00,anomaly
157B025010017,2025-09-09 19:00:00,2025-09-10 03:00:00,anomaly
157B025010017,2025-09-10 23:00:00,2025-09-10 23:00:00,anomaly
157B025010025,2025-06-17 03:00:00,2025-06-17 03:00:00,anomaly
157B025010025,2025-06-21 00:00:00,2025-06-21 00:00:00,anomaly
157B025010025,2025-06-23 23:00:00,2025-06-23 23:00:00,anomaly
157B025010025,2025-06-25 23:00:00,2025-06-25 23:00:00,anomaly
157B025010025,2025-06-26 01:00:00,2025-06-26 02:00:00,anomaly
157B025010025,2025-06-27 01:00:00,2025-06-27 02:00:00,anomaly
157B025010025,2025-06-29 00:00:00,2025-06-29 00:00:00,anomaly
157B025010025,2025-06-29 02:00:00,2025-06-29 02:00:00,anomaly
157B025010025,2025-07-02 03:00:00,2025-07-02 04:00:00,anomaly
157B025010025,2025-06-30 18:00:00,2025-06-30 23:00:00,drain
157B025010025,2025-07-05 02:00:00,2025-07-05 02:00:00,anomaly
157B025010025,2025-07-08 00:00:00,2025-07-08 00:00:00,anomaly
157B025010025,2025-07-14 03:00:00,2025-07-14 03:00:00,anomaly
157B025010025,2025-07-15 05:00:00,2025-07-15 05:00:00,anomaly
157B025010025,2025-07-25 23:00:00,2025-07-25 23:00:00,anomaly
157B025010025,2025-07-28 00:00:00,2025-07-28 01:00:00,anomaly
157B025010025,2025-07-30 22:00:00,2025-07-30 22:00:00,anomaly
157B025010025,2025-08-03 04:00:00,2025-08-03 04:00:00,anomaly
157B025010025,2025-08-03 22:00:00,2025-08-03 22:00:00,anomaly
157B025010025,2025-08-11 23:00:00,2025-08-11 23:00:00,anomaly
157B025010025,2025-08-17 03:00:00,2025-08-17 03:00:00,anomaly
157B025010025,2025-08-17 23:00:00,2025-08-17 23:00:00,anomaly
157B025010025,2025-08-18 03:00:00,2025-08-18 05:00:00,anomaly
157B025010025,2025-08-21 01:00:00,2025-08-21 01:00:00,anomaly
157B025010025,2025-08-22 23:00:00,2025-08-23 01:00:00,anomaly
157B025010025,2025-08-23 03:00:00,2025-08-23 03:00:00,anomaly
157B025010025,2025-08-24 04:00:00,2025-08-24 05:00:00,anomaly
157B025010025,2025-08-25 00:00:00,2025-08-25 00:00:00,anomaly
157B025010025,2025-09-06 01:00:00,2025-09-06 01:00:00,anomaly
157B025010025,2025-09-07 22:00:00,2025-09-07 22:00:00,anomaly
157B025010025,2025-07-25 19:00:00,2025-07-25 22:00:00,drain
157B025010025,2025-07-28 08:00:00,2025-07-28 13:00:00,drain
157B025010025,2025-09-11 23:00:00,2025-09-12 02:00:00,drain
157B025010028,2025-06-17 06:00:00,2025-06-17 14:00:00,drain
157B025010028,2025-06-21 23:00:00,2025-06-21 23:00:00,anomaly
157B025010028,2025-06-27 03:00:00,2025-06-27 03:00:00,anomaly
157B025010028,2025-06-28 04:00:00,2025-06-28 04:00:00,anomaly
157B025010028,2025-06-26 13:00:00,2025-06-26 17:00:00,drain
157B025010028,2025-07-01 07:00:00,2025-07-01 17:00:00,drain
157B025010028,2025-07-04 23:00:00,2025-07-04 23:00:00,anomaly
157B025010028,2025-07-10 00:00:00,2025-07-10 00:00:00,anomaly
157B025010028,2025-07-14 23:00:00,2025-07-14 23:00:00,anomaly
157B025010028,2025-07-23 00:00:00,2025-07-23 00:00:00,anomaly
157B025010028,2025-07-23 23:00:00,2025-07-23 23:00:00,anomaly
157B025010028,2025-07-25 17:00:00,2025-07-25 19:00:00,anomaly
157B025010028,2025-07-09 09:00:00,2025-07-09 12:00:00,drain
157B025010028,2025-07-21 06:00:00,2025-07-21 11:00:00,drain
157B025010028,2025-07-25 06:00:00,2025-07-25 10:00:00,drain
157B025010028,2025-07-27 00:00:00,2025-07-27 00:00:00,anomaly
157B025010028,2025-07-28 01:00:00,2025-07-28 02:00:00,anomaly
157B025010028,2025-07-28 23:00:00,2025-07-29 00:00:00,anomaly
157B025010028,2025-07-29 23:00:00,2025-07-29 23:00:00,anomaly
157B025010028,2025-07-31 04:00:00,2025-07-31 04:00:00,anomaly
157B025010028,2025-08-06 01:00:00,2025-08-06 05:00:00,anomaly
157B025010028,2025-08-12 05:00:00,2025-08-12 05:00:00,anomaly
157B025010028,2025-08-16 23:00:00,2025-08-17 01:00:00,anomaly
157B025010028,2025-08-22 05:00:00,2025-08-22 05:00:00,anomaly
157B025010028,2025-08-27 03:00:00,2025-08-27 03:00:00,anomaly
157B025010028,2025-08-29 04:00:00,2025-08-29 04:00:00,anomaly
157B025010028,2025-09-01 05:00:00,2025-09-01 05:00:00,anomaly
157B025010028,2025-09-03 05:00:00,2025-09-03 05:00:00,anomaly
157B025010028,2025-09-06 04:00:00,2025-09-06 05:00:00,anomaly
157B025010028,2025-09-10 03:00:00,2025-09-10 03:00:00,anomaly
157B025010028,2025-08-17 08:00:00,2025-08-17 12:00:00,drain
157B025010028,2025-08-20 10:00:00,2025-08-20 14:00:00,drain
157B025010028,2025-08-25 03:00:00,2025-08-25 06:00:00,drain
157B025010028,2025-09-12 00:00:00,2025-09-12 02:00:00,drain
157B025010050,2025-06-16 03:00:00,2025-06-16 04:00:00,anomaly
157B025010050,2025-07-05 00:00:00,2025-07-05 02:00:00,anomaly
157B025010050,2025-07-08 01:00:00,2025-07-08 02:00:00,anomaly
157B025010050,2025-07-09 04:00:00,2025-07-09 04:00:00,anomaly
157B025010050,2025-07-12 22:00:00,2025-07-12 22:00:00,anomaly
157B025010050,2025-07-15 02:00:00,2025-07-15 02:00:00,anomaly
157B025010050,2025-07-15 04:00:00,2025-07-15 04:00:00,anomaly
157B025010050,2025-07-26 23:00:00,2025-07-27 00:00:00,anomaly
157B025010050,2025-07-09 05:00:00,2025-07-09 06:00:00,anomaly
157B025010050,2025-07-09 08:00:00,2025-07-11 18:00:00,anomaly
157B025010050,2025-07-11 20:00:00,2025-07-12 21:00:00,anomaly
157B025010050,2025-07-12 23:00:00,2025-07-14 07:00:00,anomaly
157B025010050,2025-07-14 10:00:00,2025-07-14 10:00:00,anomaly
157B025010050,2025-07-16 02:00:00,2025-07-16 03:00:00,anomaly
157B025010050,2025-07-16 05:00:00,2025-07-16 06:00:00,anomaly
157B025010050,2025-07-16 08:00:00,2025-07-16 08:00:00,anomaly
157B025010050,2025-07-07 09:00:00,2025-07-07 20:00:00,drain
157B025010050,2025-07-08 08:00:00,2025-07-08 15:00:00,drain
157B025010050,2025-07-26 00:00:00,2025-07-26 07:00:00,drain
157B025010050,2025-07-26 13:00:00,2025-07-26 22:00:00,drain
157B025010050,2025-07-29 03:00:00,2025-07-29 03:00:00,anomaly
157B025010050,2025-07-30 22:00:00,2025-07-30 22:00:00,anomaly
157B025010050,2025-07-31 04:00:00,2025-07-31 04:00:00,anomaly
157B025010050,2025-07-31 22:00:00,2025-07-31 23:00:00,anomaly
157B025010050,2025-08-02 23:00:00,2025-08-02 23:00:00,anomaly
157B025010050,2025-08-03 02:00:00,2025-08-03 04:00:00,anomaly
157B025010050,2025-08-04 01:00:00,2025-08-04 01:00:00,anomaly
157B025010050,2025-08-24 01:00:00,2025-08-24 01:00:00,anomaly
157B025010050,2025-09-03 00:00:00,2025-09-03 00:00:00,anomaly
157B025010050,2025-09-02 23:00:00,2025-09-02 23:00:00,anomaly
157B025010050,2025-09-04 03:00:00,2025-09-04 03:00:00,anomaly
157B025010050,2025-09-05 12:00:00,2025-09-05 12:00:00,anomaly
157B025010050,2025-08-01 08:00:00,2025-08-01 10:00:00,drain
157B025010050,2025-08-01 21:00:00,2025-08-02 03:00:00,drain
157B025010050,2025-08-02 12:00:00,2025-08-02 14:00:00,drain
157B025010050,2025-08-03 14:00:00,2025-08-03 18:00:00,drain
157B025010050,2025-09-02 07:00:00,2025-09-02 12:00:00,drain
157B025010050,2025-09-06 02:00:00,2025-09-06 02:00:00,anomaly
157B025010050,2025-09-06 04:00:00,2025-09-06 05:00:00,anomaly
157B025010050,2025-09-07 00:00:00,2025-09-07 00:00:00,anomaly
157B025010050,2025-09-07 02:00:00,2025-09-07 02:00:00,anomaly
157B025010050,2025-09-07 23:00:00,2025-09-08 01:00:00,anomaly
157B025010050,2025-09-10 03:00:00,2025-09-10 03:00:00,anomaly
157B025010050,2025-09-11 23:00:00,2025-09-11 23:00:00,anomaly
157B025010050,2025-09-12 03:00:00,2025-09-12 03:00:00,anomaly
157B025010050,2025-09-12 05:00:00,2025-09-12 05:00:00,anomaly
157B025010050,2025-09-15 13:00:00,2025-09-15 13:00:00,anomaly
157B025010050,2025-09-06 20:00:00,2025-09-06 23:00:00,drain
157B025010050,2025-09-07 13:00:00,2025-09-07 17:00:00,drain
157B025010050,2025-09-07 20:00:00,2025-09-07 22:00:00,drain
157B025010050,2025-09-11 13:00:00,2025-09-11 17:00:00,drain
157B025010050,2025-09-15 23:00:00,2025-09-16 06:00:00,drain
157B025010054,2025-06-16 01:00:00,2025-06-16 01:00:00,anomaly
157B025010054,2025-06-16 23:00:00,2025-06-16 23:00:00,anomaly
157B025010054,2025-06-19 01:00:00,2025-06-19 02:00:00,anomaly
157B025010054,2025-06-20 23:00:00,2025-06-21 01:00:00,anomaly
157B025010054,2025-06-25 01:00:00,2025-06-25 01:00:00,anomaly
157B025010054,2025-06-26 02:00:00,2025-06-26 02:00:00,anomaly
157B025010054,2025-06-27 00:00:00,2025-06-27 00:00:00,anomaly
157B025010054,2025-06-29 00:00:00,2025-06-29 00:00:00,anomaly
157B025010054,2025-06-29 03:00:00,2025-06-29 03:00:00,anomaly
157B025010054,2025-06-28 09:00:00,2025-06-28 12:00:00,drain
157B025010054,2025-06-30 23:00:00,2025-07-01 00:00:00,anomaly
157B025010054,2025-07-01 08:00:00,2025-07-01 10:00:00,anomaly
157B025010054,2025-07-04 22:00:00,2025-07-04 23:00:00,anomaly
157B025010054,2025-07-05 23:00:00,2025-07-05 23:00:00,anomaly
157B025010054,2025-07-07 00:00:00,2025-07-07 00:00:00,anomaly
157B025010054,2025-07-09 00:00:00,2025-07-09 01:00:00,anomaly
157B025010054,2025-07-11 23:00:00,2025-07-11 23:00:00,anomaly
157B025010054,2025-07-14 00:00:00,2025-07-14 00:00:00,anomaly
157B025010054,2025-07-14 23:00:00,2025-07-14 23:00:00,anomaly
157B025010054,2025-07-15 02:00:00,2025-07-15 02:00:00,anomaly
157B025010054,2025-07-18 22:00:00,2025-07-18 23:00:00,anomaly
157B025010054,2025-07-19 01:00:00,2025-07-19 01:00:00,anomaly
157B025010054,2025-07-19 04:00:00,2025-07-19 05:00:00,anomaly
157B025010054,2025-07-04 20:00:00,2025-07-04 21:00:00,anomaly
157B025010054,2025-07-08 10:00:00,2025-07-08 10:00:00,anomaly
157B025010054,2025-07-09 00:00:00,2025-07-09 00:00:00,anomaly
157B025010054,2025-07-09 17:00:00,2025-07-10 08:00:00,anomaly
157B025010054,2025-07-10 13:00:00,2025-07-11 09:00:00,anomaly
157B025010054,2025-07-11 11:00:00,2025-07-11 12:00:00,anomaly
157B025010054,2025-07-12 08:00:00,2025-07-12 14:00:00,anomaly
157B025010054,2025-07-13 00:00:00,2025-07-13 10:00:00,anomaly
157B025010054,2025-07-13 12:00:00,2025-07-13 12:00:00,anomaly
157B025010054,2025-07-14 08:00:00,2025-07-14 13:00:00,drain
157B025010054,2025-07-16 08:00:00,2025-07-16 10:00:00,drain
157B025010054,2025-07-24 14:00:00,2025-07-24 15:00:00,anomaly
157B025010054,2025-08-08 07:00:00,2025-08-08 08:00:00,anomaly
157B025010054,2025-08-07 07:00:00,2025-08-07 12:00:00,drain
157B025010054,2025-08-15 22:00:00,2025-08-15 23:00:00,anomaly
157B025010054,2025-08-14 21:00:00,2025-08-15 22:00:00,anomaly
157B025010054,2025-08-16 10:00:00,2025-08-16 15:00:00,anomaly
157B025010054,2025-08-21 22:00:00,2025-08-21 22:00:00,anomaly
157B025010054,2025-08-22 22:00:00,2025-08-22 22:00:00,anomaly
157B025010054,2025-08-23 08:00:00,2025-08-23 15:00:00,drain
157B025010054,2025-08-28 22:00:00,2025-08-28 23:00:00,anomaly
157B025010054,2025-08-28 16:00:00,2025-08-28 22:00:00,anomaly
157B025010054,2025-08-29 10:00:00,2025-08-30 07:00:00,anomaly
157B025010054,2025-08-30 10:00:00,2025-08-30 10:00:00,anomaly
157B025010054,2025-09-02 01:00:00,2025-09-02 02:00:00,anomaly
157B025010054,2025-09-02 06:00:00,2025-09-02 07:00:00,anomaly
157B025010054,2025-09-04 04:00:00,2025-09-04 14:00:00,anomaly
157B025010054,2025-09-05 05:00:00,2025-09-05 05:00:00,anomaly
157B025010054,2025-09-04 23:00:00,2025-09-05 05:00:00,anomaly
157B025010054,2025-09-05 16:00:00,2025-09-05 16:00:00,anomaly
157B025010054,2025-09-06 02:00:00,2025-09-06 11:00:00,anomaly
157B025010054,2025-09-11 06:00:00,2025-09-11 08:00:00,anomaly
157B025010054,2025-09-12 05:00:00,2025-09-12 05:00:00,anomaly
157B025030003,2025-06-21 00:00:00,2025-06-21 00:00:00,anomaly
157B025030003,2025-07-02 04:00:00,2025-07-02 05:00:00,anomaly
157B025030003,2025-07-04 23:00:00,2025-07-04 23:00:00,anomaly
157B025030003,2025-07-06 03:00:00,2025-07-06 03:00:00,anomaly
157B025030003,2025-07-06 23:00:00,2025-07-06 23:00:00,anomaly
157B025030003,2025-07-08 00:00:00,2025-07-08 00:00:00,anomaly
157B025030003,2025-07-10 00:00:00,2025-07-10 00:00:00,anomaly
157B025030003,2025-07-12 02:00:00,2025-07-12 02:00:00,anomaly
157B025030003,2025-07-14 00:00:00,2025-07-14 00:00:00,anomaly
157B025030003,2025-07-15 04:00:00,2025-07-15 04:00:00,anomaly
157B025030003,2025-07-15 23:00:00,2025-07-15 23:00:00,anomaly
157B025030003,2025-07-18 22:00:00,2025-07-18 23:00:00,anomaly
157B025030003,2025-07-22 23:00:00,2025-07-22 23:00:00,anomaly
157B025030003,2025-07-23 23:00:00,2025-07-23 23:00:00,anomaly
157B025030003,2025-07-26 23:00:00,2025-07-26 23:00:00,anomaly
157B025030003,2025-07-28 00:00:00,2025-07-28 00:00:00,anomaly
157B025030003,2025-07-28 23:00:00,2025-07-28 23:00:00,anomaly
157B025030003,2025-07-29 23:00:00,2025-07-29 23:00:00,anomaly
157B025030003,2025-07-30 22:00:00,2025-07-30 22:00:00,anomaly
157B025030003,2025-07-31 03:00:00,2025-07-31 03:00:00,anomaly
157B025030003,2025-08-06 02:00:00,2025-08-06 05:00:00,anomaly
157B025030003,2025-08-11 23:00:00,2025-08-11 23:00:00,anomaly
157B025030003,2025-08-12 05:00:00,2025-08-12 05:00:00,anomaly
157B025030003,2025-08-15 00:00:00,2025-08-15 00:00:00,anomaly
157B025030003,2025-08-16 23:00:00,2025-08-16 23:00:00,anomaly
157B025030003,2025-08-17 01:00:00,2025-08-17 02:00:00,anomaly
157B025030003,2025-08-22 22:00:00,2025-08-22 22:00:00,anomaly
157B025030003,2025-08-23 22:00:00,2025-08-23 22:00:00,anomaly
157B025030003,2025-08-24 23:00:00,2025-08-24 23:00:00,anomaly
157B025030003,2025-08-27 00:00:00,2025-08-27 00:00:00,anomaly
157B025030003,2025-08-28 00:00:00,2025-08-28 00:00:00,anomaly
157B025030003,2025-07-09 10:00:00,2025-07-09 12:00:00,drain
157B025030003,2025-07-15 13:00:00,2025-07-15 15:00:00,drain
157B025030003,2025-07-23 08:00:00,2025-07-23 13:00:00,drain
157B025030003,2025-07-26 13:00:00,2025-07-26 16:00:00,drain
157B025030003,2025-07-28 09:00:00,2025-07-28 11:00:00,drain
157B025030003,2025-07-29 08:00:00,2025-07-29 10:00:00,drain
157B025030003,2025-07-31 09:00:00,2025-07-31 13:00:00,drain
157B025030003,2025-08-15 08:00:00,2025-08-15 11:00:00,drain
157B025030003,2025-08-15 20:00:00,2025-08-15 22:00:00,drain
157B025030003,2025-08-23 08:00:00,2025-08-23 12:00:00,drain
157B025030003,2025-08-24 09:00:00,2025-08-24 11:00:00,drain
157B025030003,2025-08-25 09:00:00,2025-08-25 11:00:00,drain
157B025030003,2025-08-27 09:00:00,2025-08-27 12:00:00,drain
157B025030003,2025-09-06 06:00:00,2025-09-06 09:00:00,drain
157B025030003,2025-09-07 09:00:00,2025-09-07 11:00:00,drain
157B025030003,2025-09-08 02:00:00,2025-09-08 05:00:00,drain
157B025030003,2025-09-08 08:00:00,2025-09-08 10:00:00,drain
157B025030003,2025-09-09 23:00:00,2025-09-10 02:00:00,anomaly
157B025030003,2025-09-10 07:00:00,2025-09-10 11:00:00,drain
157B025030005,2025-06-16 02:00:00,2025-06-16 02:00:00,anomaly
157B025030005,2025-06-16 04:00:00,2025-06-16 05:00:00,anomaly
157B025030005,2025-06-15 04:00:00,2025-06-15 04:00:00,anomaly
157B025030005,2025-06-21 03:00:00,2025-06-21 03:00:00,anomaly
157B025030005,2025-06-27 01:00:00,2025-06-27 01:00:00,anomaly
157B025030005,2025-06-27 23:00:00,2025-06-27 23:00:00,anomaly
157B025030005,2025-07-01 22:00:00,2025-07-01 22:00:00,anomaly
157B025030005,2025-07-02 00:00:00,2025-07-02 00:00:00,anomaly
157B025030005,2025-07-02 03:00:00,2025-07-02 03:00:00,anomaly
157B025030005,2025-07-02 05:00:00,2025-07-02 05:00:00,anomaly
157B025030005,2025-06-19 17:00:00,2025-06-19 17:00:00,anomaly
157B025030005,2025-06-20 00:00:00,2025-06-20 02:00:00,drain
157B025030005,2025-06-22 01:00:00,2025-06-22 07:00:00,drain
157B025030005,2025-07-09 23:00:00,2025-07-09 23:00:00,anomaly
157B025030005,2025-07-12 01:00:00,2025-07-12 01:00:00,anomaly
157B025030005,2025-07-14 05:00:00,2025-07-14 05:00:00,anomaly
157B025030005,2025-07-14 22:00:00,2025-07-14 22:00:00,anomaly
157B025030005,2025-07-15 01:00:00,2025-07-15 01:00:00,anomaly
157B025030005,2025-07-15 04:00:00,2025-07-15 04:00:00,anomaly
157B025030005,2025-07-27 23:00:00,2025-07-27 23:00:00,anomaly
157B025030005,2025-07-30 22:00:00,2025-07-30 22:00:00,anomaly
157B025030005,2025-07-31 04:00:00,2025-07-31 04:00:00,anomaly
157B025030005,2025-08-04 00:00:00,2025-08-04 00:00:00,anomaly
157B025030005,2025-08-07 05:00:00,2025-08-07 05:00:00,anomaly
157B025030005,2025-08-12 22:00:00,2025-08-13 00:00:00,anomaly
157B025030005,2025-08-13 05:00:00,2025-08-13 05:00:00,anomaly
157B025030005,2025-08-15 01:00:00,2025-08-15 01:00:00,anomaly
157B025030005,2025-08-17 22:00:00,2025-08-17 23:00:00,anomaly
157B025030005,2025-08-19 02:00:00,2025-08-19 02:00:00,anomaly
157B025030005,2025-08-20 02:00:00,2025-08-20 02:00:00,anomaly
157B025030005,2025-08-21 02:00:00,2025-08-21 02:00:00,anomaly
157B025030005,2025-08-22 02:00:00,2025-08-22 03:00:00,anomaly
157B025030005,2025-08-24 03:00:00,2025-08-24 03:00:00,anomaly
157B025030005,2025-08-25 03:00:00,2025-08-25 03:00:00,anomaly
157B025030005,2025-08-26 04:00:00,2025-08-26 04:00:00,anomaly
157B025030005,2025-08-27 03:00:00,2025-08-27 03:00:00,anomaly
157B025030005,2025-08-28 03:00:00,2025-08-28 03:00:00,anomaly
157B025030005,2025-08-29 04:00:00,2025-08-29 04:00:00,anomaly
157B025030005,2025-08-30 05:00:00,2025-08-30 05:00:00,anomaly
157B025030005,2025-09-01 05:00:00,2025-09-01 05:00:00,anomaly
157B025030005,2025-09-07 05:00:00,2025-09-07 05:00:00,anomaly
157B025030005,2025-09-08 01:00:00,2025-09-08 02:00:00,anomaly
157B025030005,2025-07-11 04:00:00,2025-07-11 05:00:00,anomaly
157B025030005,2025-07-11 08:00:00,2025-07-11 08:00:00,anomaly
157B025030005,2025-07-11 10:00:00,2025-07-11 12:00:00,anomaly
157B025030005,2025-07-12 16:00:00,2025-07-14 00:00:00,anomaly
157B025030005,2025-07-21 10:00:00,2025-07-21 12:00:00,anomaly
157B025030005,2025-07-21 22:00:00,2025-07-21 22:00:00,anomaly
157B025030005,2025-07-22 05:00:00,2025-07-22 05:00:00,anomaly
157B025030005,2025-07-22 08:00:00,2025-07-22 08:00:00,anomaly
157B025030005,2025-07-22 10:00:00,2025-07-22 10:00:00,anomaly
157B025030005,2025-07-23 12:00:00,2025-07-23 12:00:00,anomaly
157B025030005,2025-07-23 16:00:00,2025-07-23 18:00:00,anomaly
157B025030005,2025-07-23 21:00:00,2025-07-23 21:00:00,anomaly
157B025030005,2025-07-23 23:00:00,2025-07-25 15:00:00,anomaly
157B025030005,2025-07-25 17:00:00,2025-07-25 17:00:00,anomaly
157B025030005,2025-08-07 01:00:00,2025-08-07 04:00:00,anomaly
157B025030005,2025-08-09 23:00:00,2025-08-10 13:00:00,anomaly
157B025030005,2025-08-11 00:00:00,2025-08-11 06:00:00,anomaly
